20"CTR_NO","CTR_SIZE","LDD_MT_FLG","IMP_EXP_FLG","FCL_LCL_FLG","SEAL_NO","SLINE_CD","ICD_LOC_CD","STK_LOC","ROW_NO","COLUMN_NO","HEIGHT","STK_ID","ID"
"WCIU4821932",40,"E","E","FCL","","GSA","NTA","305/001A","305","001","A","N2","N2:305:001:A"
"TPHU6717381",20,"L","I","","","ACC","ST","033/024B","033","024","B","M1","M1:033:024:B"
"TPHU6124215",20,"E","E","FCL","","ESS","HVG","153/003B","153","003","B","H1","H1:153:003:B"
"XTRU8580432",20,"L","I","","","MAI","ST","033/013A","033","013","A","M1","M1:033:013:A"
"UXXU2237387",20,"L","X","","SEAL","KSA","ST","031/027C","031","027","C","M1","M1:031:027:C"
"GIAU2155886",20,"L","I","","","CNCR","HVG","179/004B","179","004","B","H4","H4:179:004:B"
"MLKU6000003",20,"E","I","","","ACC","NTA","334/009A","334","009","A","N8","N8:334:009:A"
"UFCU6390877",20,"E","E","FCL","","TOP","ST","001/055C","001","055","C","S1","S1:001:055:C"
"GSTU5151089",20,"L","I","FCL","175498","SFS","NTA","301/022C","301","022","C","N1","N1:301:022:C"
"NONU2246656",20,"L","I","FCL","","CNCR","HVG","175/003C","175","003","C","H3","H3:175:003:C"
"SZDU3749203",20,"L","I","","MSC TRANSH","TOSA","WHF","533/013D","533","013","D","NP","NP:533:013:D"
"TEXU2614218",20,"L","I","","","ACC","HVG","174/004A","174","004","A","H3","H3:174:004:A"
"SCXU4009119",40,"L","I","","","CNCR","ST","029/029D","029","029","D","M1","M1:029:029:D"
"TEXU3582007",20,"L","X","","SEAL","KSA","ST","032/018A","032","018","A","M1","M1:032:018:A"
"TEXU3206458",20,"L","X","","SEAL","KSA","HVG","173/002D","173","002","D","H3","H3:173:002:D"
"POCU0261881",20,"E","E","FCL","","PO","ST","033/012B","033","012","B","M1","M1:033:012:B"
"NSLU2804681",20,"L","X","FCL","SEALED","HJL","EWH","224/001A","224","001","A","E5","E5:224:001:A"
"NONU5065550",40,"E","E","FCL","","CNCR","WSP","230/001A","230","001","A","W1","W1:230:001:A"
"NONU5090625",40,"L","I","FCL","TRNSP_WH","CNCR","WHF","516/061C","516","061","C","4P","4P:516:061:C"
"ICSU3727819",20,"L","I","FCL","","SSL","ST","029/021A","029","021","A","M1","M1:029:021:A"
"MLCU2889924",20,"E","E","","","DMND","HVG","175/004D","175","004","D","H3","H3:175:004:D"
"GCDU0526343",20,"E","E","","","MAI","EWH","219/005A","219","005","A","E4","E4:219:005:A"
"ILCU5005832",20,"E","E","","","DCM","ST","031/024A","031","024","A","M1","M1:031:024:A"
"ITLU6775356",20,"E","E","","","ACC","ST","033/012A","033","012","A","M1","M1:033:012:A"
"ICSU3077950",20,"E","E","FCL","","ACC","ST","071/026C","071","026","C","S9","S9:071:026:C"
"GSTU3504145",20,"L","X","FCL","SEALED","SAI","ST","033/020A","033","020","A","M1","M1:033:020:A"
"ITLU6690515",20,"L","X","FCL","SEALED","SAI","ST","033/006B","033","006","B","M1","M1:033:006:B"
"HDMU2968235",20,"L","X","FCL","165011","SBMA","ST","033/029A","033","029","A","M1","M1:033:029:A"
"HDMU2919360",20,"L","X","FCL","162995","SBMA","ST","033/018A","033","018","A","M1","M1:033:018:A"
"IALU2010709",40,"E","E","FCL","","GSA","WHF","516/061D","516","061","D","4P","4P:516:061:D"
"IALU2011027",40,"E","E","FCL","TR_050712","GSA","WHF","505/055D","505","055","D","2P","2P:505:055:D"
"ICSU3929260",20,"E","E","","","LT","ST","031/019A","031","019","A","M1","M1:031:019:A"
"HDMU2072887",20,"L","X","FCL","164809","SBMA","HVG","176/006C","176","006","C","H3","H3:176:006:C"
"CAXU4078612",40,"E","E","FCL","","PIT","ST","071/003A","071","003","A","S9","S9:071:003:A"
"CATU3021065",20,"E","E","FCL","","DMND","HVG","148/004A","148","004","A","H1","H1:148:004:A"
"CATU3021276",20,"E","E","FCL","","DMND","ST","033/028B","033","028","B","M1","M1:033:028:B"
"CATU2803326",20,"E","E","FCL","","SFS","EWH","219/009A","219","009","A","E4","E4:219:009:A"
"CATU2813474",20,"E","E","FCL","","SFS","EWH","207/023A","207","023","A","E2","E2:207:023:A"
"GSTU4206280",20,"E","E","","","MAI","IWH","111/022A","111","022","A","R1","R1:111:022:A"
"DSIU5102975",20,"E","E","FCL","","DMND","ST","008/081D","008","081","D","S2","S2:008:081:D"
"GSTU8033032",40,"L","I","","","ACC","EWH","218/026A","218","026","A","E4","E4:218:026:A"
"CTIU9604383",40,"E","I","FCL","","DSP","WHF","505/055C","505","055","C","2P","2P:505:055:C"
"CTIU4443970",40,"E","E","","","DGSA","WHF","505/055B","505","055","B","2P","2P:505:055:B"
"CSSU0683820",20,"E","E","","","ACC","WHF","503/009A","503","009","A","1P","1P:503:009:A"
"CLOU2272884",20,"E","E","","","ACC","NTA","327/001C","327","001","C","N6","N6:327:001:C"
"CKPU2854951",20,"L","X","FCL","173991","SSL","EWH","227/003B","227","003","B","E5","E5:227:003:B"
"ESLU9000310",20,"E","E","FCL","","DSPL","NTA","322/003A","322","003","A","N5","N5:322:003:A"
"OCLU4176753",20,"L","I","FCL","","PO","NTA","306/019B","306","019","B","N2","N2:306:019:B"
"EACU9109904",40,"E","E","FCL","TRSP_WH","GSA","WHF","518/033B","518","033","B","4P","4P:518:033:B"
"TRLU2287860",20,"E","E","FCL","","SAI","HVG","153/005A","153","005","A","H1","H1:153:005:A"
"TRIU2870384",20,"E","I","","","ACC","HVG","179/008B","179","008","B","H4","H4:179:008:B"
"TRIU2562674",20,"E","E","FCL","","CSEL","WHF","532/036A","532","036","A","NP","NP:532:036:A"
"CAXU2122383",20,"E","I","","","ACC","WSP","229/005A","229","005","A","W1","W1:229:005:A"
"APLU788776",40,"E","E","FCL","","APL","WSP","231/001B","231","001","B","W1","W1:231:001:B"
"CAXU4155914",40,"L","X","FCL","SEALED","RKL","ST","072/001C","072","001","C","S9","S9:072:001:C"
"CAXU4105087",40,"L","X","FCL","SEALED","RKL","WHF","505/055A","505","055","A","2P","2P:505:055:A"
"TRIU2952311",20,"E","E","FCL","","SACM","HVG","149/004A","149","004","A","H1","H1:149:004:A"
"CBHU0419529",20,"L","I","","","CNCR","HVG","176/007A","176","007","A","H3","H3:176:007:A"
"CBHU0667947",20,"L","I","","","CNCR","HVG","175/007A","175","007","A","H3","H3:175:007:A"
"LTIU2536835",20,"L","I","FCL","","LT","ST","030/018A","030","018","A","M1","M1:030:018:A"
"LTIU2503805",20,"L","I","FCL","","LT","ST","031/024B","031","024","B","M1","M1:031:024:B"
"LTIU2461649",20,"L","I","FCL","","LT","ST","031/025C","031","025","C","M1","M1:031:025:C"
"LTIU2370472",20,"L","I","FCL","","LT","ST","032/023B","032","023","B","M1","M1:032:023:B"
"CBHU0686504",20,"L","I","","","CNCR","HVG","175/008B","175","008","B","H3","H3:175:008:B"
"CBHU0589696",20,"L","I","","","CNCR","HVG","175/004B","175","004","B","H3","H3:175:004:B"
"CBHU0296759",20,"E","I","","","ACC","HVG","156/003C","156","003","C","H1","H1:156:003:C"
"GSTU3723499",20,"E","E","","","SFS","EWH","205/005A","205","005","A","E2","E2:205:005:A"
"PONU0932448",20,"L","I","FCL","4943261","PO","IWH","111/025A","111","025","A","R1","R1:111:025:A"
"NONU1034854",40,"E","E","FCL","","CNCR","NTA","299/015D","299","015","D","N1","N1:299:015:D"
"APLU700106",40,"L","I","FCL","","APL","ST","029/005A","029","005","A","M1","M1:029:005:A"
"ILCU5029011",20,"E","E","","","DCM","ST","033/015C","033","015","C","M1","M1:033:015:C"
"OCLU4161898",20,"E","E","FCL","","CNCR","NTA","327/003B","327","003","B","N6","N6:327:003:B"
"ITAU2100830",20,"L","I","FCL","","LT","ST","032/015C","032","015","C","M1","M1:032:015:C"
"TPXU6781391",20,"E","E","FCL","","ESS","WHF","505/057D","505","057","D","2P","2P:505:057:D"
"TPHU8163437",20,"E","E","FCL","","SFS","EWH","208/008B","208","008","B","E2","E2:208:008:B"
"LMTU8328170",20,"E","I","","","ACC","ST","074/002D","074","002","D","X3","X3:074:002:D"
"ICSU4191696",20,"E","E","FCL","","ESS","HVG","148/004D","148","004","D","H1","H1:148:004:D"
"CRXU1003949",20,"L","I","FCL","","LT","ST","033/016C","033","016","C","M1","M1:033:016:C"
"COSU3028701",20,"L","I","","","CNCR","HVG","176/007D","176","007","D","H3","H3:176:007:D"
"CSQU8092540",20,"L","I","FCL","","OCN","NTA","334/020D","334","020","D","N8","N8:334:020:D"
"SZDU2040787",20,"E","I","","","ACC","HVG","175/006B","175","006","B","H3","H3:175:006:B"
"MMMU0180227",20,"L","I","","","CNCR","HVG","175/009A","175","009","A","H3","H3:175:009:A"
"MMMU0603817",20,"E","E","FCL","","TOSA","ST","031/001B","031","001","B","M1","M1:031:001:B"
"MMMU1094355",20,"L","I","","","CNCR","HVG","175/007B","175","007","B","H3","H3:175:007:B"
"MMMU1251433",20,"E","E","","","ACC","WHF","505/059D","505","059","D","2P","2P:505:059:D"
"HLCU4327533",40,"E","E","FCL","","CNCR","NTA","330/001D","330","001","D","N7","N7:330:001:D"
"HLCU4328653",40,"E","E","FCL","","CNCR","NTA","331/009C","331","009","C","N7","N7:331:009:C"
"JUGU0050023",20,"E","E","FCL","","OCN","EWH","207/013C","207","013","C","E2","E2:207:013:C"
"JCSU2034256",20,"E","E","FCL","","DMND","NTA","327/004B","327","004","B","N6","N6:327:004:B"
"JAYU2013660",20,"E","E","","","DMND","NTA","326/003A","326","003","A","N6","N6:326:003:A"
"SCXU4621799",40,"E","E","FCL","","CNCR","WHF","505/059C","505","059","C","2P","2P:505:059:C"
"TRIU3902911",20,"E","E","FCL","","CSEL","EWH","208/006C","208","006","C","E2","E2:208:006:C"
